172.18.0.1 - - [07/Dec/2025:13:21:42 +0000] "POST /api/auth/login HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=0.501 uct="0.001" uht="-" urt="0.502"
172.18.0.1 - - [07/Dec/2025:13:23:54 +0000] "POST /api/auth/login HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=10.010 uct="-" uht="-" urt="10.010"
172.18.0.1 - - [07/Dec/2025:13:24:47 +0000] "POST /api/auth/login HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=3.080 uct="-" uht="-" urt="3.080"
172.18.0.1 - - [07/Dec/2025:13:25:47 +0000] "POST /api/auth/register HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=3.094 uct="-" uht="-" urt="3.094"
172.18.0.1 - - [07/Dec/2025:13:25:53 +0000] "POST /api/auth/register HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=3.078 uct="-" uht="-" urt="3.078"
172.18.0.1 - - [07/Dec/2025:13:26:20 +0000] "POST /api/auth/register HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=3.104 uct="-" uht="-" urt="3.104"
172.18.0.1 - - [07/Dec/2025:13:26:47 +0000] "POST /api/auth/register HTTP/1.1" 502 80 "-" "PostmanRuntime/7.49.1" rt=3.102 uct="-" uht="-" urt="3.102"
172.18.0.1 - - [13/Dec/2025:22:01:16 +0000] "GET /api/orders HTTP/1.1" 200 26 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0" rt=0.017 uct="0.008" uht="0.017" urt="0.017"
172.18.0.1 - - [13/Dec/2025:22:01:16 +0000] "GET /favicon.ico HTTP/1.1" 404 86 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:35:03 +0000] "GET /orders/metrics HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:37:34 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:46:09 +0000] "GET /orders HTTP/1.1" 404 86 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:146.0) Gecko/20100101 Firefox/146.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:46:09 +0000] "GET /favicon.ico HTTP/1.1" 404 86 "http://localhost:8080/orders" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:146.0) Gecko/20100101 Firefox/146.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:54:04 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [02/Jan/2026:23:58:48 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "curl/8.5.0" rt=0.000 uct="-" uht="-" urt="-"
172.18.0.1 - - [03/Jan/2026:00:00:15 +0000] "GET /orders/health HTTP/1.1" 404 86 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:146.0) Gecko/20100101 Firefox/146.0" rt=0.000 uct="-" uht="-" urt="-"
